"species"
"Ablennes hians"
"Cephalopholis sexmaculata"
"Cephalopholis spiloparaea"
"Cephalopholis taeniops"
"Cephalopholis urodeta"
"Cetoscarus bicolor"
"Cetoscarus ocellatus"
"Chaetodipterus faber"
"Chaetodon"
"Chaetodon auriga"
"Chaetodon baronessa"
"Chaetodon bennetti"
"Chaetodon capistratus"
"Chaetodon citrinellus"
"Chaetodon ephippium"
"Chaetodon falcula"
"Chaetodon fasciatus"
"Chaetodon gardineri"
"Chaetodon guttatissimus"
"Chaetodon kleinii"
"Chaetodon larvatus"
"Chaetodon lineolatus"
"Chaetodon lunula"
"Chaetodon lunulatus"
"Chaetodon melannotus"
"Chaetodon mertensii"
"Chaetodon mesoleucos"
"Chaetodon meyeri"
"Chaetodon miliaris"
"Chaetodon ocellatus"
"Chaetodon ocellicaudus"
"Chaetodon octofasciatus"
"Chaetodon ornatissimus"
"Chaetodon oxycephalus"
"Chaetodon pelewensis"
"Chaetodon plebeius"
"Chaetodon punctatofasciatus"
"Chaetodon quadrimaculatus"
"Chaetodon rafflesii"
"Chaetodon reticulatus"
"Chaetodon semeion"
"Chaetodon speculum"
"Chaetodon striatus"
"Chaetodon trifascialis"
"Chaetodon trifasciatus"
"Chaetodon ulietensis"
"Chaetodon unimaculatus"
"Chaetodon vagabundus"
"Chaetodon xanthocephalus"
"Chaetodon zanzibarensis"
"Chaetodontidae"
"Chaetodontoplus dimidiatus"
"Chaetodontoplus mesoleucus"
"Chaetodontoplus vanderloosi"
"Chanos chanos"
"Cheilinus chlorourus"
"Cheilinus fasciatus"
"Cheilinus trilobatus"
"Cheilinus undulatus"
"Cheilio inermis"
"Cheilotrema saturnum"
"Cheimerius nufar"
"Chelmon rostratus"
"Chloroscombrus chrysurus"
"Chlorurus atrilunula"
"Chlorurus bleekeri"
"Chlorurus bowersi"
"Chlorurus capistratoides"
"Chlorurus enneacanthus"
"Chlorurus frontalis"
"Chlorurus japanensis"
"Chlorurus microrhinos"
"Chlorurus perspicillatus"
"Chlorurus sordidus"
"Chlorurus spilurus"
"Chlorurus strongylocephalus"
"Choerodon anchorago"
"Choerodon jordani"
"Choerodon melanostigma"
"Chromis alpha"
"Chromis amboinensis"
"Chromis atripectoralis"
"Chromis atripes"
"Chromis chromis"
"Chromis chrysura"
"Chromis dimidiata"
"Chromis lineata"
"Chromis margaritifer"
"Chromis retrofasciata"
"Chromis ternatensis"
"Chromis verater"
"Chromis viridis"
"Chromis weberi"
"Chromis xanthura"
"Chrysiptera biocellata"
"Chrysiptera brownriggii"
"Chrysiptera cymatilis"
"Chrysiptera flavipinnis"
"Chrysiptera glauca"
"Chrysiptera talboti"
"Chrysoblephus cristiceps"
"Chrysoblephus laticeps"
"Cirrhilabrus punctatus"
"Cirrhitichthys oxycephalus"
"Clepticus parrae"
"Coris aygula"
"Coris dorsomacula"
"Coris formosa"
"Coris gaimard"
"Coris julis"
"Crenimugil crenilabis"
"Cromileptes altivelis"
"Ctenochaetus"
"Ctenochaetus binotatus"
"Ctenochaetus cyanocheilus"
"Ctenochaetus striatus"
"Ctenochaetus strigosus"
"Ctenochaetus tominiensis"
"Ctenochaetus truncatus"
"Ctenolabrus rupestris"
"Cymatoceps nasutus"
"Dactyloptena orientalis"
"Dascyllus albisella"
"Dascyllus aruanus"
"Dascyllus reticulatus"
"Dascyllus trimaculatus"
"Dasyatidae"
"Decapterus kurroides"
"Decapterus macarellus"
"Decapterus macrosoma"
"Decapterus maruadsi"
"Decapterus punctatus"
"Decapterus russelli"
"Dendrophysa russelii"
"Dentex angolensis"
"Dentex canariensis"
"Dentex dentex"
"Dentex gibbosus"
"Dentex macrophthalmus"
"Dentex maroccanus"
"Diagramma pictum"
"Diodon liturosus"
"Diplectrum formosum"
"Diplodus annularis"
"Diplodus bellottii"
"Diplodus cadenati"
"Diplodus capensis"
"Diplodus cervinus"
"Diplodus hottentotus"
"Diplodus puntazzo"
"Diplodus sargus"
"Diplodus vulgaris"
"Diploprion bifasciatum"
"Dischistodus melanotus"
"Echeneis naucrates"
"Elagatis bipinnulata"
"Ellochelon vaigiensis"
"Engraulidae"
"Enneapterygius atriceps"
"Epibulus insidiator"
"Epinephelides armatus"
"Epinephelus adscensionis"
"Epinephelus aeneus"
"Epinephelus areolatus"
"Epinephelus caninus"
"Epinephelus chlorostigma"
"Epinephelus coeruleopunctatus"
"Epinephelus coioides"
"Epinephelus costae"
"Epinephelus cyanopodus"
"Epinephelus diacanthus"
"Epinephelus drummondhayi"
"Epinephelus fasciatomaculosus"
"Epinephelus fasciatus"
"Epinephelus flavocaeruleus"
"Epinephelus fuscoguttatus"
"Epinephelus guttatus"
"Epinephelus hexagonatus"
"Epinephelus itajara"
"Epinephelus labriformis"
"Epinephelus latifasciatus"
"Epinephelus maculatus"
"Epinephelus malabaricus"
"Epinephelus marginatus"
"Epinephelus merra"
"Epinephelus morio"
"Epinephelus morrhua"
"Epinephelus multinotatus"
"Epinephelus ongus"
"Epinephelus polylepis"
"Epinephelus polyphekadion"
"Epinephelus rivulatus"
"Epinephelus sexfasciatus"
"Epinephelus spilotoceps"
"Epinephelus striatus"
"Epinephelus tauvina"
"Epinephelus tukula"
"Euthynnus affinis"
"Euthynnus alletteratus"
"Eviota melasma"
"Eviota queenslandica"
"Eviota sigillata"
"Forcipiger"
"Forcipiger flavissimus"
"Forcipiger longirostris"
"Forsterygion lapillum"
"Forsterygion varium"
"Gerreidae"
"Gerres longirostris"
"Ginglymostoma cirratum"
"Girella punctata"
"Girella tricuspidata"
"Gnathanodon speciosus"
"Gnathodentex aureolineatus"
"Gobiosoma robustum"
"Gobius niger"
"Gobius paganellus"
"Gobius vittatus"
"Gomphosus caeruleus"
"Gomphosus varius"
"Gracila albomarginata"
"Gymnocranius audleyi"
"Gymnocranius euanus"
"Gymnocranius grandoculis"
"Gymnocranius griseus"
"Gymnocranius microdon"
"Gymnothorax javanicus"
"Haemulidae"
"Haemulon"
"Haemulon album"
"Haemulon aurolineatum"
"Haemulon bonariense"
"Haemulon carbonarium"
"Haemulon chrysargyreum"
"Haemulon flaviguttatum"
"Haemulon flavolineatum"
"Haemulon macrostomum"
"Haemulon maculicauda"
"Haemulon melanurum"
"Haemulon parra"
"Haemulon plumierii"
"Haemulon sciurus"
"Haemulon sexfasciatum"
"Haemulon steindachneri"
"Halichoeres"
"Halichoeres argus"
"Halichoeres biocellatus"
"Halichoeres bivittatus"
"Halichoeres chloropterus"
"Halichoeres chrysus"
"Halichoeres cosmetus"
"Halichoeres garnoti"
"Halichoeres hortulanus"
"Halichoeres leucurus"
"Halichoeres maculipinna"
"Halichoeres margaritaceus"
"Halichoeres marginatus"
"Halichoeres melanurus"
"Halichoeres nigrescens"
"Halichoeres ornatissimus"
"Halichoeres pardaleocephalus"
"Halichoeres prosopeion"
"Halichoeres radiatus"
"Halichoeres richmondi"
"Halichoeres scapularis"
"Halichoeres trimaculatus"
"Hemiglyphidodon plagiometopon"
"Hemigymnus fasciatus"
"Hemigymnus melapterus"
"Hemiramphus brasiliensis"
"Hemiramphus far"
"Hemitaurichthys polylepis"
"Heniochus acuminatus"
"Heniochus chrysostomus"
"Heniochus monoceros"
"Heniochus singularius"
"Heniochus varius"
"Herklotsichthys quadrimaculatus"
"Hipposcarus harid"
"Hipposcarus longiceps"
"Holacanthus ciliaris"
"Holacanthus passer"
"Holacanthus tricolor"
"Holocentridae"
"Holocentrus"
"Holocentrus adscensionis"
"Holocentrus rufus"
"Hologymnosus annulatus"
"Hologymnosus doliatus"
"Hypoplectrus nigricans"
"Hypoplectrus puella"
"Hyporhamphus australis"
"Hyporthodus nigritus"
"Hyporthodus niveatus"
"Hyporthodus quernus"
"Istigobius goldmanni"
"Johnius coitor"
"Johnius dussumieri"
"Karalepis stewarti"
"Kyphosus bigibbus"
"Kyphosus cinerascens"
"Kyphosus sectatrix"
"Kyphosus vaigiensis"
"Labrichthys unilineatus"
"Labridae"
"Labroides bicolor"
"Labroides dimidiatus"
"Labroides pectoralis"
"Labropsis australis"
"Labrus bergylta"
"Labrus merula"
"Labrus mixtus"
"Lachnolaimus maximus"
"Lactophrys bicaudalis"
"Lactophrys triqueter"
"Lagocephalus sceleratus"
"Lagodon rhomboides"
"Leptoscarus vaigiensis"
"Lesueurigobius friesii"
"Lethrinidae"
"Lethrinus atkinsoni"
"Lethrinus borbonicus"
"Lethrinus enigmaticus"
"Lethrinus erythracanthus"
"Lethrinus erythropterus"
"Lethrinus genivittatus"
"Lethrinus harak"
"Lethrinus laticaudis"
"Lethrinus lentjan"
"Lethrinus mahsena"
"Lethrinus microdon"
"Lethrinus miniatus"
"Lethrinus nebulosus"
"Lethrinus obsoletus"
"Lethrinus olivaceus"
"Lethrinus ornatus"
"Lethrinus rubrioperculatus"
"Lethrinus semicinctus"
"Lethrinus xanthochilus"
"Lipophrys pholis"
"Lutjanidae"
"Lutjanus"
"Lutjanus adetii"
"Lutjanus alexandrei"
"Lutjanus analis"
"Lutjanus apodus"
"Lutjanus argentimaculatus"
"Lutjanus argentiventris"
"Lutjanus biguttatus"
"Lutjanus bohar"
"Lutjanus boutton"
"Lutjanus buccanella"
"Lutjanus campechanus"
"Lutjanus carponotatus"
"Lutjanus cyanopterus"
"Lutjanus ehrenbergii"
"Lutjanus erythropterus"
"Lutjanus fulviflamma"
"Lutjanus fulvus"
"Lutjanus gibbus"
"Lutjanus griseus"
"Lutjanus guttatus"
"Lutjanus jocu"
"Lutjanus johnii"
"Lutjanus kasmira"
"Lutjanus lutjanus"
"Lutjanus mahogoni"
"Lutjanus malabaricus"
"Lutjanus monostigma"
"Lutjanus peru"
"Lutjanus purpureus"
"Lutjanus quinquelineatus"
"Lutjanus rivulatus"
"Lutjanus russellii"
"Lutjanus sanguineus"
"Lutjanus sebae"
"Lutjanus semicinctus"
"Lutjanus synagris"
"Lutjanus timoriensis"
"Lutjanus vitta"
"Lutjanus vivanus"
"Macolor macularis"
"Macolor niger"
"Macropharyngodon bipartitus"
"Macropharyngodon meleagris"
"Malacanthus plumieri"
"Megalaspis cordyla"
"Megalops atlanticus"
"Meiacanthus oualanensis"
"Melichthys indicus"
"Melichthys niger"
"Melichthys vidua"
"Menticirrhus americanus"
"Meuschenia scaber"
"Microspathodon chrysurus"
"Monotaxis grandoculis"
"Moolgarda seheli"
"Mugil cephalus"
"Mugil curema"
"Mullidae"
"Mulloidichthys flavolineatus"
"Mulloidichthys martinicus"
"Mulloidichthys vanicolensis"
"Mullus barbatus barbatus"
"Mullus surmuletus"
"Muraena augusti"
"Muraena helena"
"Muraenidae"
"Mycteroperca bonaci"
"Mycteroperca interstitialis"
"Mycteroperca microlepis"
"Mycteroperca olfax"
"Mycteroperca phenax"
"Mycteroperca rosacea"
"Mycteroperca rubra"
"Mycteroperca tigris"
"Mycteroperca venenosa"
"Myripristis adusta"
"Myripristis amaena"
"Myripristis berndti"
"Myripristis kuntee"
"Myripristis murdjan"
"Myripristis vittata"
"Myxus elongatus"
"Naso annulatus"
"Naso brachycentron"
"Naso brevirostris"
"Naso caesius"
"Naso elegans"
"Naso hexacanthus"
"Naso lituratus"
"Naso reticulatus"
"Naso thynnoides"
"Naso tonganus"
"Naso tuberosus"
"Naso unicornis"
"Naso vlamingii"
"Naucrates ductor"
"Nebrius ferrugineus"
"Nemipterus japonicus"
"Nemipterus peronii"
"Neoglyphidodon melas"
"Neoglyphidodon nigroris"
"Neoniphon argenteus"
"Neoniphon opercularis"
"Neoniphon sammara"
"Neopomacentrus bankieri"
"Neopomacentrus cyanomos"
"Neoscorpis lithophilus"
"Nerophis ophidion"
"Notolabrus celidotus"
"Notolabrus fucicola"
"Novaculichthys taeniourus"
"Oblada melanura"
"Ocyurus chrysurus"
"Odax pullus"
"Odonus niger"
"Ophichthus zophochir"
"Orthopristis ruber"
"Ostorhinchus cyanosoma"
"Ostorhinchus doederleini"
"Ostracion meleagris"
"Others CRCP"
"Otolithes ruber"
"Oxycheilinus"
"Oxycheilinus celebicus"
"Oxycheilinus digramma"
"Oxycheilinus orientalis"
"Oxycheilinus unifasciatus"
"Oxymonacanthus longirostris"
"Pachymetopon aeneum"
"Pachymetopon blochii"
"Pachymetopon grande"
"Pagellus affinis"
"Pagellus bellottii"
"Pagellus erythrinus"
"Pagrus auratus"
"Pagrus caeruleostictus"
"Pagrus major"
"Pagrus pagrus"
"Parablennius ruber"
"Paracanthurus hepatus"
"Paracentropyge multifasciata"
"Paracirrhites arcatus"
"Paracirrhites forsteri"
"Parajulis poecilepterus"
"Paralabrax clathratus"
"Paralabrax maculatofasciatus"
"Paranthias furcifer"
"Parapercis clathrata"
"Parapercis colias"
"Parapercis cylindrica"
"Parapercis hexophtalma"
"Parapercis millepunctata"
"Parapercis multiplicata"
"Parapristipoma trilineatum"
"Parastromateus niger"
"Parma microlepis"
"Parupeneus barberinoides"
"Parupeneus barberinus"
"Parupeneus bifasciatus"
"Parupeneus chrysopleuron"
"Parupeneus ciliatus"
"Parupeneus crassilabris"
"Parupeneus cyclostomus"
"Parupeneus forsskali"
"Parupeneus heptacanthus"
"Parupeneus indicus"
"Parupeneus macronemus"
"Parupeneus multifasciatus"
"Parupeneus pleurostigma"
"Parupeneus porphyreus"
"Parupeneus rubescens"
"Parupeneus spilurus"
"Parupeneus trifasciatus"
"Pempheridae"
"Pempheris adspersa"
"Pennahia anea"
"Pentapodus aureofasciatus"
"Pentapodus porosus"
"Pentapodus trivittatus"
"Pervagor melanocephalus"
"Phyllopteryx taeniolatus"
"Pinguipedidae"
"Platax boersii"
"Platax orbicularis"
"Platax teira"
"Plectorhinchus"
"Plectorhinchus albovittatus"
"Plectorhinchus chaetodonoides"
"Plectorhinchus gibbosus"
"Plectorhinchus lessonii"
"Plectorhinchus lineatus"
"Plectorhinchus mediterraneus"
"Plectorhinchus orientalis"
"Plectorhinchus pictus"
"Plectorhinchus picus"
"Plectorhinchus schotaf"
"Plectorhinchus sordidus"
"Plectorhinchus vittatus"
"Plectroglyphidodon dickii"
"Plectroglyphidodon johnstonianus"
"Plectroglyphidodon lacrymatus"
"Plectropomus"
"Plectropomus areolatus"
"Plectropomus laevis"
"Plectropomus leopardus"
"Plectropomus maculatus"
"Plectropomus oligacanthus"
"Polysteganus undulosus"
"Pomacanthidae"
"Pomacanthus"
"Pomacanthus arcuatus"
"Pomacanthus chrysurus"
"Pomacanthus imperator"
"Pomacanthus maculosus"
"Pomacanthus navarchus"
"Pomacanthus paru"
"Pomacanthus semicirculatus"
"Pomacanthus sexstriatus"
"Pomacanthus xanthometopon"
"Pomacentridae"
"Pomacentrus albimaculus"
"Pomacentrus amboinensis"
"Pomacentrus bankanensis"
"Pomacentrus brachialis"
"Pomacentrus burroughi"
"Pomacentrus caeruleus"
"Pomacentrus coelestis"
"Pomacentrus indicus"
"Pomacentrus lepidogenys"
"Pomacentrus moluccensis"
"Pomacentrus nigromanus"
"Pomacentrus philippinus"
"Pomacentrus reidi"
"Pomacentrus taeniometopon"
"Pomacentrus trilineatus"
"Pomacentrus wardi"
"Pomachromis guamensis"
"Pomadasys argyreus"
"Pomadasys commersonnii"
"Pomadasys incisus"
"Pomadasys jubelini"
"Pomadasys maculatus"
"Pomadasys striatus"
"Priacanthus arenatus"
"Priacanthus hamrur"
"Priacanthus macracanthus"
"Priacanthus tayenus"
"Pristotis obtusirostris"
"Prognathodes aculeatus"
"Pronotogrammus martinicensis"
"Pseudanthias flavoguttatus"
"Pseudanthias huchtii"
"Pseudanthias squamipinnis"
"Pseudanthias tuka"
"Pseudobalistes flavimarginatus"
"Pseudocaranx dentex"
"Pseudocheilinus hexataenia"
"Pseudochromis fuscus"
"Pseudodax moluccanus"
"Pseudotolithus senegalensis"
"Pseudupeneus maculatus"
"Pseudupeneus prayensis"
"Pterapogon kauderni"
"Pterocaesio lativittata"
"Pterocaesio marri"
"Pterocaesio pisang"
"Pterocaesio tile"
"Pterocaesio trilineata"
"Pterois volitans"
"Pygoplites diacanthus"
"Rachycentron canadum"
"Rastrelliger kanagurta"
"Rhabdamia gracilis"
"Rhabdosargus sarba"
"Rhinecanthus aculeatus"
"Rhinecanthus rectangulus"
"Rhomboplites aurorubens"
"Roncador stearnsii"
"Rudarius ercodes"
"Salarias patzneri"
"Sarda sarda"
"Sargocentron caudimaculatum"
"Sargocentron diadema"
"Sargocentron microstoma"
"Sargocentron spiniferum"
"Sarpa salpa"
"Scaridae"
"Scarus altipinnis"
"Scarus caudofasciatus"
"Scarus chameleon"
"Scarus coeruleus"
"Scarus dimidiatus"
"Scarus falcipinnis"
"Scarus ferrugineus"
"Scarus flavipectoralis"
"Scarus forsteni"
"Scarus frenatus"
"Scarus ghobban"
"Scarus globiceps"
"Scarus guacamaia"
"Scarus iseri"
"Scarus niger"
"Scarus oviceps"
"Scarus persicus"
"Scarus prasiognathos"
"Scarus psittacus"
"Scarus quoyi"
"Scarus rivulatus"
"Scarus rubroviolaceus"
"Scarus scaber"
"Scarus schlegeli"
"Scarus spinus"
"Scarus taeniopterus"
"Scarus tricolor"
"Scarus vetula"
"Scarus viridifucatus"
"Scatophagus argus"
"Sciaena umbra"
"Scolopsis bilineata"
"Scolopsis ciliata"
"Scolopsis frenatus"
"Scolopsis lineata"
"Scolopsis margaritifera"
"Scolopsis taeniata"
"Scolopsis taenioptera"
"Scolopsis temporalis"
"Scolopsis trilineata"
"Scomberoides lysan"
"Scomberomorus"
"Scomberomorus brasiliensis"
"Scomberomorus cavalla"
"Scomberomorus commerson"
"Scomberomorus guttatus"
"Scomberomorus maculatus"
"Scomberomorus regalis"
"Scomberomorus semifasciatus"
"Scorpaena cardinalis"
"Scorpaena guttata"
"Scorpaena loppei"
"Scorpaena maderensis"
"Scorpaena notata"
"Scorpaena porcus"
"Scorpaena scrofa"
"Scorpaenidae"
"Scorpis aequipinnis"
"Scorpis lineolata"
"Sebastes caurinus"
"Sebastes constellatus"
"Sebastes emphaeus"
"Sebastes goodei"
"Sebastes hopkinsi"
"Sebastes inermis"
"Sebastes melanops"
"Sebastes mystinus"
"Sebastes paucispinis"
"Sebastes serranoides"
"Sebastes steindachneri"
"Sebastes taczanowskii"
"Sebastiscus marmoratus"
"Selar boops"
"Selar crumenophthalmus"
"Selaroides leptolepis"
"Semicossyphus pulcher"
"Seriola dumerili"
"Seriola lalandi"
"Seriola quinqueradiata"
"Serranidae"
"Serranus atricauda"
"Serranus cabrilla"
"Serranus hepatus"
"Serranus scriba"
"Serranus subligarius"
"Serranus tigrinus"
"Siganidae"
"Siganus argenteus"
"Siganus canaliculatus"
"Siganus corallinus"
"Siganus doliatus"
"Siganus fuscescens"
"Siganus guttatus"
"Siganus lineatus"
"Siganus luridus"
"Siganus puelloides"
"Siganus puellus"
"Siganus punctatissimus"
"Siganus punctatus"
"Siganus rivulatus"
"Siganus spinus"
"Siganus stellatus"
"Siganus sutor"
"Siganus uspi"
"Siganus vermiculatus"
"Siganus vulpinus"
"Sparisoma atomarium"
"Sparisoma aurofrenatum"
"Sparisoma chrysopterum"
"Sparisoma cretense"
"Sparisoma frondosum"
"Sparisoma rubripinne"
"Sparisoma strigatum"
"Sparisoma viride"
"Sparodon durbanensis"
"Sparus aurata"
"Sphoeroides spengleri"
"Sphoeroides testudineus"
"Sphyraena barracuda"
"Sphyraena flavicauda"
"Sphyraena jello"
"Sphyraena obtusata"
"Sphyraena pinguis"
"Sphyraena putnamae"
"Sphyraena qenie"
"Sphyraena sphyraena"
"Sphyraena viridensis"
"Sphyrna mokarran"
"Spondyliosoma cantharus"
"Stegastes acapulcoensis"
"Stegastes arcifrons"
"Stegastes beebei"
"Stegastes fasciolatus"
"Stegastes flavilatus"
"Stegastes fuscus"
"Stegastes gascoynei"
"Stegastes lividus"
"Stegastes nigricans"
"Stegastes planifrons"
"Stegastes rectifraenum"
"Stephanolepis hispidus"
"Stethojulis albovittata"
"Stethojulis bandanensis"
"Stethojulis notialis"
"Stethojulis strigiventer"
"Stethojulis trilineata"
"Sufflamen bursa"
"Sufflamen chrysopterum"
"Sufflamen chrysopterus"
"Symphodus cinereus"
"Symphodus mediterraneus"
"Symphodus melops"
"Symphodus ocellatus"
"Symphodus roissali"
"Symphodus rostratus"
"Symphodus tinca"
"Symphorus nematophorus"
"Syngnathoides biaculeatus"
"Syngnathus typhle"
"Synodus myops"
"Synodus variegatus"
"Tautoga onitis"
"Tautogolabrus adspersus"
"Thalassoma amblycephalum"
"Thalassoma bifasciatum"
"Thalassoma hardwicke"
"Thalassoma hebraicum"
"Thalassoma jansenii"
"Thalassoma lunare"
"Thalassoma lutescens"
"Thalassoma purpureum"
"Thalassoma quinquevittatum"
"Trachinotus falcatus"
"Trachinotus marginatus"
"Trachurus capensis"
"Trachurus declivis"
"Trachurus indicus"
"Trachurus japonicus"
"Trachurus lathami"
"Trachurus mediterraneus"
"Trachurus murphyi"
"Trachurus novaezelandiae"
"Trachurus picturatus"
"Trachurus symmetricus"
"Trachurus trachurus"
"Trachurus trecae"
"Triaenodon obesus"
"Trimma benjamini"
"Trimma nasa"
"Triso dermopterus"
"Tylosurus crocodilus"
"Umbrina cirrosa"
"Umbrina ronchus"
"Upeneus japonicus"
"Upeneus moluccensis"
"Upeneus sulphureus"
"Upeneus taeniopterus"
"Upeneus tragula"
"Upeneus vittatus"
"Uraspis helvola"
"Valamugil buchanani"
"Valenciennea muralis"
"Variola louti"
"Xiphocheilus typus"
"Xyrichtys novacula"
"Zanclus cornutus"
"Zebrasoma desjardinii"
"Zebrasoma flavescens"
"Zebrasoma scopas"
"Zebrasoma velifer"
"Zebrasoma veliferum"
